"1","I Love Dad with The Very Hungry Caterpillar","children"
"2","The Wonderful Things You Will Be","children"
"3","Dr. Seuss's I Love Pop!: A Celebration of Dads","children"
"4","Dragons Love Tacos","children"
"5","How to Babysit a Grandpa","children"
"6","I Wish You More","children"
"7","Grumpy Monkey","children"
"8","The Day the Crayons Quit","children"
"9","Dear Girl,","children"
"10","Rosie Revere, Engineer (Questioneers Collection Series)","children"
"11","Brawl of the Wild (Dog Man Series #6)","children"
"12","The Meltdown (Diary of a Wimpy Kid Series #13)","children"
"13","Harry Potter and the Sorcerer's Stone (Harry Potter Series #1)","children"
"14","Escape from the Isle of the Lost (Descendants Series #4)","children"
"15","The Lightning Thief (Percy Jackson and the Olympians Series #1)","children"
"16","Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2: The Revenge of the Ridiculous Robo-Boogers (Color Edition)","children"
"17","The Bad Guys (The Bad Guys Series #1)","children"
"18","Who Is Michael Jordan?","children"
"19","Tales from a Not-So-Glam TV Star (Dork Diaries Series #7)","children"
"20","P.S. I Still Love You (To All the Boys I've Loved Before Series #2)","children"
"21","Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal","children"
"22","PopularMMOs Presents Enter the Mine","children"
"23","Refugee","children"
"24","Wonder","children"
"25","Wishtree","children"
"26","Katt vs. Dogg","children"
"27","The First (Endling Series #2)","children"
"28","A Wolf Called Wander","children"
"29","Aru Shah and the Song of Death (Pandava Series #2)","children"
"30","Blended","children"
"31","Where the Crawdads Sing","fiction"
"32","Unsolved","fiction"
"33","Mrs. Everything","fiction"
"34","City of Girls","fiction"
"35","Tom Clancy Enemy Contact","fiction"
"36","The Oracle (Fargo Adventure Series #11)","fiction"
"37","Recursion","fiction"
"38","Redemption (Amos Decker Series #5)","fiction"
"39","The Summer Guests","fiction"
"40","On Earth We're Briefly Gorgeous","fiction"
"41","Queen Bee","fiction"
"42","The Guest Book","fiction"
"43","The 18th Abduction (Women's Murder Club Series #18)","fiction"
"44","Fall; or, Dodge in Hell","fiction"
"45","The Silent Patient","fiction"
"46","Before We Were Yours","fiction"
"47","Little Fires Everywhere","fiction"
"48","The Tattooist of Auschwitz","fiction"
"49","The Outsider","fiction"
"50","The President Is Missing","fiction"
"51","The Woman in the Window","fiction"
"52","A Gentleman in Moscow","fiction"
"53","Eleanor Oliphant Is Completely Fine","fiction"
"54","Long Road to Mercy (Atlee Pine Series #1)","fiction"
"55","The Mister","fiction"
"56","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","fiction"
"57","The Handmaid's Tale","fiction"
"58","Big Little Lies (Movie Tie-In)","fiction"
"59","The Overstory","fiction"
"60","The Death of Mrs. Westaway","fiction"
"61","Unfreedom of the Press","non-fiction"
"62","Songs of America: Patriotism, Protest, and the Music That Made a Nation","non-fiction"
"63","The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West","non-fiction"
"64","Howard Stern Comes Again","non-fiction"
"65","Educated","non-fiction"
"66","Becoming","non-fiction"
"67","Sea Stories: My Life in Special Operations","non-fiction"
"68","Siege: Trump Under Fire","non-fiction"
"69","The British Are Coming: The War for America, Lexington to Princeton, 1775-1777","non-fiction"
"70","The Enemy of the People: A Dangerous Time to Tell the Truth in America","non-fiction"
"71","More Than Enough: Claiming Space for Who You Are (No Matter What They Say)","non-fiction"
"72","The Moment of Lift: How Empowering Women Changes the World (B&N Exclusive Edition)","non-fiction"
"73","Every Man a Hero: A Memoir of D-Day, the First Wave at Omaha Beach, and a World at War","non-fiction"
"74","The Second Mountain: The Quest for a Moral Life","non-fiction"
"75","One Giant Leap: The Impossible Mission That Flew Us to the Moon","non-fiction"
"76","The Mueller Report","non-fiction"
"77","Born a Crime: Stories from a South African Childhood","non-fiction"
"78","Sapiens: A Brief History of Humankind","non-fiction"
"79","Calypso","non-fiction"
"80","The Mueller Report: The Final Report of the Special Counsel into Donald Trump, Russia, and Collusion","non-fiction"
"81","White Fragility: Why It's So Hard for White People to Talk about Racism","non-fiction"
"82","The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","non-fiction"
"83","How to Change Your Mind: What the New Science of Psychedelics Teaches Us about Consciousness, Dying, Addiction, Depression, and Transcendence","non-fiction"
"84","Just Mercy: A Story of Justice and Redemption","non-fiction"
"85","Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man","non-fiction"
"86","Outliers: The Story of Success","non-fiction"
"87","The Mueller Report: Report on the Investigation into Russian Interference in the 2016 Presidential Election","non-fiction"
"88","Grit: The Power of Passion and Perseverance","non-fiction"
"89","Being Mortal: Medicine and What Matters in the End","non-fiction"
"90","Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","non-fiction"
"91","How to Skimm Your Life","misc"
"92","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","misc"
"93","Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","misc"
"94","Stay Sexy & Don't Get Murdered: The Definitive How-to Guide","misc"
"95","Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be","misc"
"96","Everything Is F*cked: A Book about Hope","misc"
"97","Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","misc"
"98","You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","misc"
"99","Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.","misc"
"100","Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide","misc"
