BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","selbach_bibliothek_2007","Selbach, Michaela & der Fachhochsch.], {[Bibliothek}","Bibliothek 2.0 : neue Perspektiven und Einsatzmöglichkeiten für wissenschaftliche Bibliotheken","",,,"","",2007,"{[Köln]}","","","","","","","","{[Bibliothek} der Fachhochsch.]","","","","","","","","","imported","",""
7,"","schulz2010service","Schulz, Manuela","Service vor Ort? Die Bibliothek geht zum Nutzer","GMS Medizin — Bibliothek — Information",10,3,"December","Doc 31",2010,"","","http://www.egms.de/static/de/journals/mbi/2010-10/mbi000215.shtml#block1","","","","","","","","","","","","","Zum Kern jeder Bibliotheksarbeit gehört die Ausrichtung ihrer Services auf die zumeist heterogenen Nutzergruppen. Dies schließt die Reflexion über die Dienste und eine ständige Weiterentwicklung mit ein. In einer medizinischen Hochschulbibliothek lassen sich als Zielgruppen mit spezifischen Bedürfnissen in der Regel Studierende, Ärzte, wissenschaftliche Mitarbeiter, Klinikumspersonal aus Pflege und Labor sowie Mitarbeiter der Verwaltung identifizieren. Studierende nutzen die Angebote der Bibliothek regelmäßig und überwiegend vor Ort, während wissenschaftliche Mitarbeiter und Ärzte vor allem auf die elektronischen Ressourcen von ihrem Arbeitsplatz aus zugreifen (möchten). Der Beitrag umfasst eine Problematisierung, Bedarfsanalyse und schließlich die Konzeption einer Dienstleistung, mit der alle potentiellen Nutzergruppen der Bibliothek der Medizinischen Fakultät Mannheim der Universität Heidelberg erreicht werden (können).","gms | GMS Medizin — Bibliothek — Information. | Service vor Ort – Die Bibliothek geht zum Nutzer","bibliothek, Kunden, Kommunikationsstrategie, Service, Kommunikation","",""
1,"","Hochschulbibliographie","Tröger, Beate","Wissenschaft online. Elektronisches Publizieren in Bibliothek und Hochschule","",,Sonderheft 80,"","",2000,"","Das Buch ist in der Bibliothek des Kurt-Schwitters-Forums der FH Hannover ausleihbar. Signatur: BID 7151/224:2","http://books.google.de/books?id=ZW01g-ywHxMC&dq=Wissenschaft+online+elektronisches+publizieren+in+Bibliothek+und+Hochschule&printsec=frontcover&source=bl&ots=F1rgo46sdM&sig=hJJtjFdsQANmsIV52-ad-cvQ5AM&hl=de&sa=X&oi=book_result&resnum=1&ct=result","Wissenschaft online. Elektronisches Publizieren in Bibliothek und Hochschule","","","Zeitschrift für Bibliothekswesen und Bibliographie : Sonderhefte ; 80","für Bibliothekswesen und Bibliographie, Sonderheft 80 Zeitschrift","Frankfurt a.M.: Klostermann (2000)","","","","","","","Wissenschaft online - unter diesem Schlagwort scheint sich zur Zeit ein Paradigmenwechsel innerhalb der Wissenschafts- struktur anzubahnen. Klassische Verbreitungswege eigener Erkenntnisse innerhalb der fachlichen Community werden ebenso in Frage gestellt wie klassische Multiplikationswege dieser Erkenntnisse für die wissenschaftliche Nachfolgegeneration; überlieferte Normen des Publizierens werden ebenso unter- laufen wie althergebrachte Formen der Lehre. Auch Informa-tionsdienstleister und Bibliotheken werden in diesen Paradigmenwechsel, dessen Implikationen sehr konsequenzen- reich sind für alle Beteiligten des Wissenschaftsbetriebes, hineingezogen. Die im vorliegenden Band zusammengeführten Überlegungen zu elektronischen Publikationen und elektro-nischem Publizieren in Hochschule und Bibliothek bemühen sich, Aspekte dieses drastischen Veränderungsprozesses zu beleuchten. Aus verschiedenen Blickrichtungen heraus betrachten sie Akteure und Artefakte virtueller Lehre und Forschung, multimedialer Publikation und bibliothekarischer Bearbeitung der Online-Wissenschaft.","Der vorliegenden Band enthält zahlreiche Überlegungen zu elektronischen Publikationen und elektronischem Publizieren in Hochschule und Bibliothek und beleuchtet die Aspekte des drastischen Veränderungsprozesses der momentan im Hochschulwesen hinsichtlich der elektronischen Publikation von hochschulinternen Veröffentlichungen stattfindet. Weiterführende Literatur zum Thema.","Hochschule, Bibliothek, fhhdb08, Hochschulbibliographie, Elektronisches_Publizieren, Hochschulbibliografie","",""
7,"","danowski2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","myown, bibliothek, library, library2.0, library20, bibliothek20, bibliothek2.0","",""
7,"","danowski2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/preprint/2007/ar_2463_danhel.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259-1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","myown, bibliothek, library, library2.0, lis, library20, bibliothek20, bibliothek2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259-1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, 2.0, cvk","",""
7,"","danowski2006bzb","DANOWSKI, Patrick & HELLER, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","","BibSonomy::bibtex::{Bibliothek 2. 0: Die Zukunft der Bibliothek?}","bibliothek, library, web, connotea, 2.0","",""
